epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.6952244234781195,0.5273722627737226,0.6983909390189431,0.5,0.0003
2,0.6912806382144454,0.5383211678832117,0.6975153630430048,0.5227272727272727,0.0003
3,0.6861304401481239,0.5602189781021898,0.6947709863836115,0.4772727272727273,0.0003
4,0.685945054040338,0.5437956204379562,0.711267433383248,0.36363636363636365,0.0003
5,0.6874401469300263,0.5237226277372263,0.7037713798609647,0.4090909090909091,0.0003
6,0.691982105700639,0.5109489051094891,0.6961635188622908,0.5,0.00020999999999999998
7,0.6919341487606077,0.5237226277372263,0.702336847782135,0.4318181818181818,0.00020999999999999998
8,0.6896150451507012,0.5437956204379562,0.7110271020369097,0.38636363636363635,0.00020999999999999998
9,0.6895306280059535,0.5273722627737226,0.6990231871604919,0.4318181818181818,0.00020999999999999998
10,0.6899121260120921,0.5,0.7002882686528292,0.4090909090909091,0.00020999999999999998
11,0.6876179797806009,0.5218978102189781,0.6909588412805037,0.5,0.00014699999999999997
12,0.6896299228180934,0.5164233576642335,0.6869849508458917,0.4772727272727273,0.00014699999999999997
13,0.688269666511647,0.5547445255474452,0.6831722530451688,0.5227272727272727,0.00014699999999999997
14,0.6852742968684565,0.5656934306569343,0.6879046667705883,0.4318181818181818,0.00014699999999999997
15,0.6864046410922586,0.541970802919708,0.6892636851830916,0.4318181818181818,0.00014699999999999997
16,0.6861655768686837,0.5656934306569343,0.6888922561298717,0.4318181818181818,0.00010289999999999997
17,0.6857380205697386,0.5474452554744526,0.6843336116183888,0.45454545454545453,0.00010289999999999997
18,0.680116161812831,0.5675182481751825,0.6834169355305758,0.45454545454545453,0.00010289999999999997
19,0.6827618136023083,0.5565693430656934,0.6834953698244962,0.45454545454545453,0.00010289999999999997
20,0.6901732195902915,0.5364963503649635,0.6837341406128623,0.45454545454545453,0.00010289999999999997
21,0.687477093108379,0.531021897810219,0.6786129691384055,0.5227272727272727,7.202999999999997e-05
22,0.6910900286514393,0.5328467153284672,0.6775777773423628,0.5454545454545454,7.202999999999997e-05
23,0.6824979351384797,0.5492700729927007,0.6803239746527239,0.5227272727272727,7.202999999999997e-05
24,0.6813098644688181,0.5565693430656934,0.6810852885246277,0.5,7.202999999999997e-05
25,0.6805178958134059,0.5656934306569343,0.6812537366693671,0.4772727272727273,7.202999999999997e-05
26,0.680865490523568,0.5529197080291971,0.6798310334032233,0.5681818181818182,5.042099999999998e-05
27,0.6795785244363938,0.5693430656934306,0.6791045448996804,0.5681818181818182,5.042099999999998e-05
28,0.6798927383701296,0.5693430656934306,0.6792107928882946,0.5681818181818182,5.042099999999998e-05
29,0.6853609415736511,0.5711678832116789,0.6811886050484397,0.5,5.042099999999998e-05
30,0.6802944936891542,0.5620437956204379,0.6806036992506548,0.5454545454545454,5.042099999999998e-05
31,0.6811360642857796,0.5620437956204379,0.6822925860231573,0.5,3.529469999999998e-05
32,0.6847698801625384,0.5529197080291971,0.6799182946031744,0.5681818181818182,3.529469999999998e-05
